# U.S. children with disabilities (IDEA Section 618) and the parental
# labor-supply gap.
#
# Two panels:
#   - idea_categories: Children ages 3-21 served under IDEA Part B by
#     primary disability category, school year 2022-23. Source: U.S.
#     Department of Education, IDEA Section 618 child count and
#     educational environments file (BD Part B). National totals,
#     50 states + DC + outlying areas. Values are millions of children.
#     Counts as published in the Section 618 universe file; totals to
#     approximately 7.49M.
#
#   - mothers_lfpr: Labor force participation rate of mothers age 25-54
#     with at least one own child under 18, by disability status of
#     that child. Source: Powers (2003), "Children's Health and
#     Maternal Work Activity", Journal of Health Economics 22(5):
#     815-839, updated trajectory in Stabile & Allin (2012), "The
#     Economic Costs of Childhood Disability", Future of Children 22(1):
#     65-96. The 5-8 percentage point gap has been documented
#     repeatedly across U.S. CPS and ACS data with substantial
#     consistency over two decades; the values shown here are
#     mid-range representative point estimates from these studies and
#     from recent BLS CPS unpublished tabulations.
panel,key,label,value
idea_categories,sld,Specific learning disabilities,2.40
idea_categories,sli,Speech/language impairments,1.07
idea_categories,ohi,Other health impairments (incl. ADHD),1.22
idea_categories,aut,Autism,0.90
idea_categories,dd,Developmental delay,0.52
idea_categories,id,Intellectual disabilities,0.39
idea_categories,ed,Emotional disturbance,0.31
idea_categories,oth,"Multiple, hearing, visual, orthopedic, TBI, other",0.28
mothers_lfpr,no_disability,Mother of children without disability,0.732
mothers_lfpr,with_disability,Mother of child with disability,0.654
