# Median hourly wages, deflated to 2024 USD using BLS CPI-U (annual).
#
# Occupations:
#   - hha:     Home Health Aides (SOC 31-1011, merged into 31-1120 in 2018+)
#   - pca:     Personal Care Aides (SOC 31-1021, merged into 31-1122)
#   - cna:     Nursing Assistants (SOC 31-1014, then 31-1131)
#   - all_occ: All occupations, national median
#
# Source: BLS Occupational Employment and Wage Statistics (OEWS, formerly
# OES), May national estimates. Nominal medians deflated by the
# CPI-U All Urban Consumers annual average (2024 = 313.7).
year,occupation,median_wage_real_2024
2014,hha,13.62
2014,pca,13.02
2014,cna,16.39
2014,all_occ,22.65
2016,hha,13.92
2016,pca,13.41
2016,cna,16.34
2016,all_occ,22.92
2018,hha,14.16
2018,pca,13.78
2018,cna,16.30
2018,all_occ,23.04
2020,hha,15.79
2020,pca,15.49
2020,cna,17.97
2020,all_occ,24.45
2022,hha,15.43
2022,pca,15.05
2022,cna,17.84
2022,all_occ,23.92
2024,hha,14.51
2024,pca,15.42
2024,cna,17.81
2024,all_occ,23.11
