# Hays County water use (kAF/yr) by category, historical and projected.
# Historical (2000-2020): TWDB Historical Water Use Estimates by County.
#   https://www3.twdb.texas.gov/apps/reports/WU_REP/SumFinal_CountyReportWithReuse
#   Filter: County = Hays. Export to Excel; sum by category by year.
# Projected (2030-2070): TWDB 2026 RWP Board-Adopted Demand Projections.
#   https://www.twdb.texas.gov/waterplanning/data/projections/2027/municipal.asp
#   https://www.twdb.texas.gov/waterplanning/data/projections/2027/projections.asp
#   Filter: Region = L (South Central Texas), County = Hays.
# Units: thousand acre-feet per year (kAF/yr).
# Values below are PLACEHOLDERS aligned with rough magnitudes; replace
# with the values exported from TWDB before publication.
year,municipal,irrigation,mining,manufacturing
2000,16.0,5.5,0.4,0.2
2005,22.0,5.0,0.6,0.3
2010,30.0,4.5,0.9,0.4
2015,40.0,4.0,1.2,0.5
2020,55.0,4.0,1.4,0.6
2030,78.0,3.8,1.4,0.7
2040,100.0,3.5,1.3,0.8
2050,120.0,3.3,1.2,0.8
2060,138.0,3.0,1.1,0.9
2070,152.0,2.8,1.0,0.9
