player,round,score,total,place,year,major,date,major_id,major_round,made_cut,liv,defect_date,post,sv_field,birthdate,age,event_time
Adam Hadwin,1,69.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-4.793103448275858,1987-11-02,30.431211498973305,
Adam Hadwin,2,75.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,0.4367816091954069,1987-11-02,30.431211498973305,
Adam Hadwin,3,72.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,0.7358490566037688,1987-11-02,30.431211498973305,
Adam Hadwin,4,71.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,0.5094339622641542,1987-11-02,30.431211498973305,
Adam Scott,1,75.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,1.2068965517241423,1973-04-03,45.01300479123888,
Adam Scott,2,73.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-1.5632183908045931,1973-04-03,45.01300479123888,
Adam Scott,3,70.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-1.2641509433962312,1973-04-03,45.01300479123888,
Adam Scott,4,71.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,0.5094339622641542,1973-04-03,45.01300479123888,
Alex Norén,1,74.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,0.20689655172414234,1982-07-12,35.73990417522245,
Alex Norén,2,79.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,4.436781609195407,1982-07-12,35.73990417522245,
Alex Norén,3,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1982-07-12,35.73990417522245,
Alex Norén,4,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1982-07-12,35.73990417522245,
Austin Cook,1,74.0,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,0.20689655172414234,1991-03-13,27.071868583162217,
Austin Cook,2,80.0,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,5.436781609195407,1991-03-13,27.071868583162217,
Austin Cook,3,,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1991-03-13,27.071868583162217,
Austin Cook,4,,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1991-03-13,27.071868583162217,
Bernd Wiesberger,1,70.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-3.7931034482758577,1985-10-08,32.498288843258045,
Bernd Wiesberger,2,73.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-1.5632183908045931,1985-10-08,32.498288843258045,
