player,birthdate
Phil Mickelson,1970-06-16
Dustin Johnson,1984-06-22
Sergio Garcia,1980-01-09
Louis Oosthuizen,1982-10-19
Charl Schwartzel,1984-08-31
Kevin Na,1983-09-15
Talor Gooch,1991-11-08
Branden Grace,1988-05-20
Ian Poulter,1976-01-10
Lee Westwood,1973-04-24
Graeme McDowell,1979-07-30
Martin Kaymer,1984-12-28
Patrick Reed,1990-08-05
Bryson DeChambeau,1993-09-16
Brooks Koepka,1990-05-03
Pat Perez,1976-03-01
Matthew Wolff,1999-04-14
Bubba Watson,1978-11-05
Cameron Smith,1993-08-18
Joaquin Niemann,1998-11-07
Marc Leishman,1983-10-24
Harold Varner III,1990-08-15
Thomas Pieters,1992-01-22
Mito Pereira,1995-03-31
Sebastian Munoz,1992-12-29
Brendan Steele,1983-02-04
Dean Burmester,1989-06-30
Jon Rahm,1994-11-10
Tyrrell Hatton,1991-10-14
Adrian Meronk,1993-05-18
Aaron Baddeley,1981-03-17
Aaron Jarvis,
Aaron Rai,1995-03-03
Aaron Wise,1996-06-21
Abel Gallegos,
Abraham Ancer,1991-02-27
Adam Hadwin,1987-11-02
Adam Long,1987-09-25
Adam Schenk,1992-01-26
Adam Scott,1973-04-03
Adam Svensson,1993-12-31
Adri Arnaus,1994-10-17
Adrián Otaegui,1992-11-21
Akshay Bhatia,2002-01-31
Aldrich Potgieter,2004-09-13
Alex Beach,
Alex Norén,1982-07-12
Alex Smalley,1996-10-21
Alex Čejka,1970-12-02
Alexander Björk,1990-06-07
Alexander Lévy,1990-08-01
An Byeong-hun,1991-09-17
Andrea Pavan,1989-04-27
Andrew Johnston,1989-02-18
Andrew Landry,1987-08-07
Andrew Novak,1995-03-31
Andrew Putnam,1989-01-25
Andrew Svoboda,1979-10-02
Andy Ogletree,1998-04-03
Andy Pope,1984-03-03
Andy Sullivan,1987-05-19
Anirban Lahiri,1987-06-29
Antoine Rozner,1993-02-12
Ashton Turner,1993-01-25
Austen Truslow,
Austin Cook,1991-03-13
Austin Eckroat,1999-01-12
Austin Greaser,
Barclay Brown,
Beau Hossler,1995-03-16
Ben Carr,
Ben Cook,1993-09-29
Ben Griffin,1996-05-06
Ben James,
Ben Kern,
Ben Kohles,1990-02-24
Ben Polland,
Benjamin Hébert,1987-02-19
